variation_id,run_number,crn_seed,final_status,years_survived,final_population,final_resources,final_health,distance_covered,disease_outbreaks,overcrowding_events,critical_rationing,normal_rationing,min_resources,max_resources,mean_resources,std_resources,total_weight,initial_population,ship_capacity,initial_resources,birth_rate,death_rate,resource_gen_rate,lightspeed_fraction,health_index,diff_initial_population,diff_ship_capacity,diff_initial_resources,diff_birth_rate,diff_death_rate,diff_resource_gen_rate,diff_lightspeed_fraction,diff_health_index
base,18,60,Success,720,4,560.2132879518576,107.80000000000001,40161613694976.07,37,2,95,167,398.65207860433634,99434.62436553705,15116.197787341378,19700.15069722665,67616.19778734137,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,19,61,Failed,608,0,162.6174599192645,100.0,33914251564646.73,40,2,86,129,76.94108883131808,100669.10071700218,19050.713712025998,26240.495422235897,71550.713712026,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,20,62,Success,720,2,204.16834129642882,107.80000000000001,40161613694976.07,34,2,88,177,204.16834129642882,97235.39632674684,18029.37381595235,23312.35635304936,70529.37381595235,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,21,63,Success,720,13,1476.556003102876,107.80000000000001,40161613694976.07,26,2,95,180,629.4578200277588,95793.07306685753,11685.844824678608,17407.75500058847,64185.84482467861,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,22,64,Success,720,8,830.4983207835943,88.2,40161613694976.07,35,2,89,190,725.5035665135182,115249.77504872606,17482.561857502864,20991.282471528808,69982.56185750286,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,23,65,Failed,679,0,187.17388227176966,100.0,37874632915123.4,40,2,96,162,87.9319798208268,105801.20168380527,16628.061132450413,22762.409631910396,69128.06113245041,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,24,66,Success,720,6,614.3673766213792,78.4,40161613694976.07,30,2,92,188,606.8736052567506,95474.74232080762,15345.792260413853,18923.614599888104,67845.79226041386,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,25,67,Success,720,8,1000.1096568648737,98.0,40161613694976.07,32,2,88,193,748.5242753006164,84838.71975419151,15077.560660622421,17690.370942917736,67577.56066062242,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,26,68,Success,720,8,980.9853212483008,107.80000000000001,40161613694976.07,31,2,98,192,748.5848909167582,85917.61027596127,16172.288482606325,20759.681882733148,68672.28848260632,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,27,69,Success,720,5,604.0924247458161,107.80000000000001,40161613694976.07,36,2,97,183,449.1600334731752,79740.01550794071,14488.411326574938,17802.70773344949,66988.41132657493,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,28,70,Success,720,14,1395.6248447335486,88.2,40161613694976.07,39,2,88,201,1021.7007774961148,87152.98463993493,15680.283816356165,18153.323477600425,68180.28381635617,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,29,71,Success,720,12,1548.8955948230393,107.80000000000001,40161613694976.07,46,2,89,177,703.1682464361675,103521.77638643583,20093.973257840516,24533.925557027957,72593.97325784052,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,30,72,Success,720,18,1908.8958888873062,88.2,40161613694976.07,31,2,81,173,1706.73802292536,123941.46472265523,22925.590540756995,28816.319375492596,75425.590540757,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,31,73,Success,720,12,1103.6965741344522,88.2,40161613694976.07,29,4,87,168,587.8954429009375,109909.79440309678,23826.3746655663,28870.581284566848,76326.3746655663,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,32,74,Success,720,1,247.94937807064184,107.80000000000001,40161613694976.07,43,2,102,175,132.86584892119865,83676.47335309918,14898.268606692061,20191.345841794213,67398.26860669206,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,33,75,Success,720,7,688.9870408387276,98.0,40161613694976.07,36,2,91,192,652.3881574914631,103426.27208377513,19537.01711069364,23993.82554972932,72037.01711069365,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,34,76,Success,720,4,504.42371858333945,107.80000000000001,40161613694976.07,37,2,94,160,378.709071747272,106651.09536387672,17229.545292266946,21284.766411873436,69729.54529226695,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,35,77,Success,720,12,1259.8354368795603,107.80000000000001,40161613694976.07,35,2,91,173,828.3221171013827,110149.31811966852,17767.658049722584,20811.75194355582,70267.65804972258,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
