ship_capacity,initial_resources,resource_gen_rate,weight_mean,weight_std,success_rate,avg_resources_mean,avg_resources_std,final_pop_mean,final_pop_std,efficiency_ratio
1050,115000,103.0,77992.1,5854.75,100.0,25492.1,5854.75,31.32,22.11,0.0012821811439876602
1050,115000,104.0,92365.2,9931.09,100.0,39865.2,9931.09,119.48,87.86,0.0010826588368779584
1050,115000,105.0,115914.95,12768.44,100.0,63414.95,12768.44,384.05,207.1,0.0008627014893247162
1050,120000,95.0,65680.31,1518.29,0.0,13180.31,1518.29,0.0,0.0,0.0
1050,120000,96.0,65958.5,1564.61,0.0,13458.5,1564.61,0.0,0.0,0.0
1050,120000,97.0,66036.82,1768.03,0.0,13536.82,1768.03,0.0,0.0,0.0
1050,120000,98.0,66546.42,1801.62,0.0,14046.42,1801.62,0.0,0.0,0.0
1050,120000,99.0,66743.4,2033.82,0.0,14243.4,2033.82,0.0,0.0,0.0
1050,120000,100.0,66498.83,2188.15,1.0,13998.83,2188.15,0.03,0.3,1.5037858560819792e-05
1050,120000,101.0,67128.3,2475.52,27.0,14628.3,2475.52,1.0,2.61,0.0004022148631799107
1050,120000,102.0,70411.5,3640.87,86.0,17911.5,3640.87,7.94,6.87,0.0012213913920311314
1050,120000,103.0,78128.71,5903.29,100.0,25628.71,5903.29,30.82,21.92,0.0012799392182464037
1050,120000,104.0,92704.28,10071.16,100.0,40204.28,10071.16,122.71,88.87,0.0010786988475612993
1050,120000,105.0,115945.31,12860.68,100.0,63445.31,12860.68,384.68,209.1,0.000862475593018812
1050,125000,95.0,65765.75,1512.48,0.0,13265.75,1512.48,0.0,0.0,0.0
1050,125000,96.0,66014.65,1597.57,0.0,13514.65,1597.57,0.0,0.0,0.0
1050,125000,97.0,66157.76,1802.19,0.0,13657.76,1802.19,0.0,0.0,0.0
1050,125000,98.0,66568.29,1831.78,0.0,14068.29,1831.78,0.0,0.0,0.0
1050,125000,99.0,66650.52,2027.94,0.0,14150.52,2027.94,0.0,0.0,0.0
1050,125000,100.0,66546.18,2191.27,1.0,14046.18,2191.27,0.03,0.3,1.5027158583708338e-05
1050,125000,101.0,67310.3,2510.02,28.0,14810.3,2510.02,1.0,2.4,0.0004159838835958241
1050,125000,102.0,70369.13,3640.06,87.0,17869.13,3640.06,7.53,6.57,0.0012363375815503189
1050,125000,103.0,78226.24,5992.75,100.0,25726.24,5992.75,31.66,22.32,0.0012783434305419766
